Timestamp,Class,Confidence,Centroid_X,Centroid_Y,Zone,Session_ZoneA,Session_ZoneB
23:10:02,ripe,0.64,325,394,A,1,0
23:10:04,ripe,0.52,322,411,A,2,0
23:10:06,ripe,0.56,315,415,A,3,0
23:10:08,ripe,0.60,316,411,A,4,0
23:10:11,ripe,0.52,318,414,A,5,0
23:10:15,ripe,0.52,297,292,A,6,0
23:10:18,ripe,0.53,298,286,A,7,0
23:10:21,ripe,0.53,331,415,A,8,0
23:10:26,ripe,0.62,327,414,A,9,0
23:10:29,ripe,0.60,329,412,A,10,0
23:10:33,ripe,0.51,299,312,A,11,0
23:10:35,ripe,0.67,324,285,A,12,0
23:10:37,ripe,0.70,323,285,A,13,0
