epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2857,1.27931,2.21235,1.34477,0.86401,0.33576,0.89346,0.53255,1.46528,2.37035,1.3916,0.00046412,0.00046412,0.00046412
2,5352.63,1.25417,1.45267,1.2778,0.79883,0.78617,0.92498,0.52534,1.44116,1.76586,1.36254,0.000903211,0.000903211,0.000903211
3,8181.01,1.2641,1.26115,1.28558,0.92755,0.96302,0.95356,0.68388,1.04286,1.33683,1.15057,0.00130458,0.00130458,0.00130458
4,11705,1.26502,1.177,1.27504,0.83165,0.89462,0.90117,0.59912,1.22505,2.04417,1.20106,0.00125923,0.00125923,0.00125923
5,2490.3,1.25175,1.11427,1.27966,0.88879,0.95402,0.92952,0.59699,1.26173,1.50747,1.24793,0.00120265,0.00120265,0.00120265
6,4923.08,1.21937,1.07497,1.24871,0.92154,0.95764,0.94435,0.63473,1.16059,1.02793,1.15923,0.00114606,0.00114606,0.00114606
7,7353.22,1.16115,0.92504,1.22638,0.95085,0.96839,0.94624,0.63128,1.18088,0.87255,1.21335,0.00108947,0.00108947,0.00108947
8,9778.5,1.12626,0.84858,1.19023,0.94272,0.93985,0.94952,0.59916,1.39384,0.92844,1.27598,0.00103288,0.00103288,0.00103288
