Timestamp,Class,Confidence,Centroid_X,Centroid_Y,Zone,Session_ZoneA,Session_ZoneB
14:27:14,defective,0.51,95,86,B,0,1
14:27:14,ripe,0.70,354,310,A,1,1
14:27:14,defective,0.68,96,87,B,1,2
14:27:16,unripe,0.61,122,275,B,1,3
14:27:16,ripe,0.61,341,396,A,2,3
14:27:17,unripe,0.52,128,260,B,2,4
14:27:17,ripe,0.51,300,222,A,3,4
14:27:23,ripe,0.75,279,386,A,4,4
14:27:33,ripe,0.75,342,381,A,5,4
14:27:33,defective,0.64,141,196,B,5,5
14:27:33,ripe,0.56,322,374,A,6,5
14:27:33,defective,0.72,143,162,B,6,6
14:27:33,ripe,0.59,325,389,A,7,6
14:27:34,defective,0.70,143,162,B,7,7
14:27:34,ripe,0.69,327,390,A,8,7
14:27:34,defective,0.77,142,173,B,8,8
14:27:34,ripe,0.51,331,389,A,9,8
14:27:35,defective,0.69,153,195,B,9,9
14:27:35,ripe,0.55,334,395,A,10,9
14:27:35,defective,0.80,153,181,B,10,10
14:27:35,ripe,0.64,340,364,A,11,10
14:27:35,defective,0.72,317,209,B,11,11
14:27:36,ripe,0.58,326,211,A,12,11
14:27:37,defective,0.59,132,200,B,12,12
14:27:37,ripe,0.59,291,385,A,13,12
14:27:37,defective,0.75,136,203,B,13,13
14:27:37,ripe,0.59,292,398,A,14,13
14:27:38,defective,0.59,138,202,B,14,14
14:27:38,ripe,0.68,295,396,A,15,14
14:27:42,ripe,0.61,273,311,A,16,14
14:27:43,defective,0.70,299,291,B,16,15
14:27:46,defective,0.83,97,286,B,16,16
