Timestamp,Class,Confidence,Centroid_X,Centroid_Y,Zone,Session_ZoneA,Session_ZoneB
12:41:33,ripe,0.79,320,146,A,1,0
12:41:34,ripe,0.82,343,354,A,2,0
12:41:35,defective,0.69,263,403,B,2,1
12:41:35,ripe,0.75,327,296,A,3,1
12:41:35,defective,0.75,109,399,B,3,2
12:41:35,ripe,0.72,317,281,A,4,2
12:41:35,defective,0.59,255,398,B,4,3
12:41:35,ripe,0.74,311,257,A,5,3
12:41:35,defective,0.66,256,389,B,5,4
12:41:35,ripe,0.75,304,266,A,6,4
12:41:38,ripe,0.80,300,288,A,7,4
12:41:40,ripe,0.69,296,224,A,8,4
12:41:40,defective,0.65,98,178,B,8,5
12:41:40,ripe,0.76,144,163,A,9,5
12:41:40,defective,0.57,52,85,B,9,6
12:41:41,ripe,0.85,367,114,A,10,6
12:41:41,defective,0.73,51,66,B,10,7
12:41:41,ripe,0.71,271,113,A,11,7
12:41:41,defective,0.64,76,85,B,11,8
12:41:41,ripe,0.84,365,125,A,12,8
12:41:41,defective,0.64,76,94,B,12,9
12:41:42,ripe,0.81,269,143,A,13,9
12:41:42,defective,0.61,152,144,B,13,10
12:41:42,ripe,0.82,65,136,A,14,10
12:41:44,ripe,0.76,146,189,A,15,10
12:41:46,ripe,0.82,145,172,A,16,10
12:41:48,ripe,0.75,298,199,A,17,10
12:41:51,ripe,0.77,99,150,A,18,10
12:41:52,defective,0.84,297,152,B,18,11
12:41:54,defective,0.87,284,110,B,18,12
12:41:54,ripe,0.71,299,98,A,19,12
12:41:56,defective,0.89,297,112,B,19,13
12:41:56,ripe,0.78,297,158,A,20,13
12:41:56,defective,0.90,295,153,B,20,14
12:41:56,ripe,0.80,296,166,A,21,14
12:41:57,unripe,0.80,332,104,B,21,15
12:41:58,ripe,0.64,298,184,A,22,15
12:41:58,unripe,0.91,329,296,B,22,16
12:41:58,ripe,0.51,297,154,A,23,16
12:41:59,unripe,0.84,340,297,B,23,17
12:41:59,ripe,0.53,299,186,A,24,17
12:41:59,unripe,0.89,343,280,B,24,18
12:41:59,ripe,0.56,299,174,A,25,18
12:41:59,unripe,0.85,343,274,B,25,19
12:41:59,ripe,0.75,300,202,A,26,19
12:42:00,unripe,0.82,377,224,B,26,20
12:42:00,ripe,0.73,301,208,A,27,20
12:42:00,unripe,0.77,382,216,B,27,21
12:42:00,ripe,0.72,300,208,A,28,21
12:42:00,unripe,0.78,365,241,B,28,22
12:42:00,ripe,0.68,300,194,A,29,22
12:42:00,unripe,0.89,344,239,B,29,23
12:42:02,ripe,0.65,76,425,A,30,23
12:42:03,unripe,0.91,329,214,B,30,24
12:42:03,ripe,0.53,61,426,A,31,24
12:42:03,unripe,0.89,337,199,B,31,25
12:42:05,unripe,0.86,350,197,B,31,26
12:42:07,ripe,0.61,363,153,A,32,26
12:42:07,unripe,0.90,282,204,B,32,27
12:42:07,ripe,0.77,366,209,A,33,27
12:42:07,unripe,0.90,281,206,B,33,28
12:42:07,ripe,0.79,366,212,A,34,28
12:42:07,unripe,0.84,275,193,B,34,29
12:42:07,ripe,0.74,362,216,A,35,29
12:42:07,unripe,0.90,262,211,B,35,30
12:42:07,ripe,0.77,348,221,A,36,30
12:42:08,unripe,0.84,158,200,B,36,31
12:42:08,ripe,0.80,342,187,A,37,31
12:42:08,unripe,0.86,155,182,B,37,32
12:42:08,ripe,0.74,341,183,A,38,32
12:42:08,unripe,0.81,160,174,B,38,33
12:42:08,ripe,0.76,347,171,A,39,33
12:42:08,unripe,0.75,260,172,B,39,34
12:42:08,ripe,0.85,348,189,A,40,34
12:42:08,unripe,0.76,161,160,B,40,35
12:42:08,ripe,0.76,352,183,A,41,35
12:42:09,unripe,0.90,268,170,B,41,36
12:42:09,ripe,0.77,361,150,A,42,36
12:42:09,unripe,0.90,266,166,B,42,37
12:42:09,ripe,0.81,353,168,A,43,37
12:42:09,unripe,0.90,264,159,B,43,38
12:42:09,ripe,0.81,352,149,A,44,38
12:42:09,unripe,0.87,256,159,B,44,39
12:42:09,ripe,0.78,340,154,A,45,39
12:42:10,defective,0.85,340,288,B,45,40
12:42:10,unripe,0.83,94,100,B,45,41
12:42:10,ripe,0.74,361,334,A,46,41
12:42:10,defective,0.84,359,333,B,46,42
12:42:10,ripe,0.81,303,122,A,47,42
12:42:10,defective,0.77,361,326,B,47,43
12:42:11,ripe,0.83,300,138,A,48,43
12:42:11,unripe,0.68,103,133,B,48,44
12:42:11,defective,0.85,353,374,B,48,45
12:42:11,ripe,0.83,299,138,A,49,45
12:42:11,defective,0.51,386,380,B,49,46
12:42:11,ripe,0.83,300,147,A,50,46
12:42:11,defective,0.62,383,398,B,50,47
12:42:11,unripe,0.59,104,135,B,50,48
12:42:11,ripe,0.82,317,159,A,51,48
12:42:11,unripe,0.67,295,164,B,51,49
12:42:11,ripe,0.58,370,212,A,52,49
12:42:12,unripe,0.71,308,169,B,52,50
12:42:12,ripe,0.65,66,414,A,53,50
12:42:12,defective,0.77,55,412,B,53,51
12:42:13,ripe,0.53,44,418,A,54,51
12:42:14,defective,0.83,44,423,B,54,52
12:42:14,ripe,0.57,44,423,A,55,52
12:42:14,defective,0.81,45,422,B,55,53
12:42:15,ripe,0.55,44,422,A,56,53
12:42:15,defective,0.80,44,421,B,56,54
12:42:15,ripe,0.62,138,281,A,57,54
12:42:17,unripe,0.81,342,355,B,57,55
12:42:19,unripe,0.71,299,332,B,57,56
12:42:23,ripe,0.74,293,163,A,58,56
12:42:25,ripe,0.69,98,82,A,59,56
12:42:26,unripe,0.58,304,222,B,59,57
12:42:43,unripe,0.82,96,168,B,59,58
12:42:45,unripe,0.87,234,121,B,59,59
12:42:47,unripe,0.81,218,102,B,59,60
12:42:49,unripe,0.52,98,215,B,59,61
12:42:51,unripe,0.63,299,163,B,59,62
